?Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gas�leo A,Precio gas�leo Premium,Precio gas�leo B,Precio gas�leo C,Precio bioetanol,Precio biodi�sel,Precio gases licuados del petr�leo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidr�geno,R�tulo,Tipo venta,Rem.,Horario,Tipo servicio,,,,,,
ALBACETE,ABENGIBRE,ABENGIBRE,2250,"AVENIDA CASTILLA LA MANCHA, 26",D,-1.539167,39.211417,2025-04-30 19:24:00,1399,,,,,1329,,859,,,,,,,,Nº 10.935,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A),,,,,,
ALBACETE,ALATOZ,ALATOZ,2152,"CR CM-332, 46,4",I,-1.346083,39.100389,2025-04-29 18:58:00,1609,,,,,1509,1619,,,,,,,,,REPSOL,P,dm,L-D: 7:00-23:00,L-D: 7:00-23:00 (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2001,"AVENIDA 1º DE MAYO, S/N",N,-1.8685,38.985667,2025-04-30 11:00:00,1419,,,1609,,1369,1409,,,,,,,,,CARREFOUR,P,dm,L-S: 08:00-22:00, D: 09:00-21:00,L-S: 08:00-22:00 (A), D: 09:00-21:00 (A),,,,
ALBACETE,ALBACETE,ALBACETE,2001,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",I,-1832,39.054694,2025-05-01 00:00:00,1499,,,1641,,1439,1529,,,,,,,,,BP ROMICA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (P),,,,,,
ALBACETE,ALBACETE,ALBACETE,2001,"CALLE FEDERICO GARCIA LORCA, 1",D,-1.849833,39.000861,2025-04-29 15:39:00,1399,,,,,1359,,,,,,,,,,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D),,,,,,
ALBACETE,ALBACETE,ALBACETE,2005,"CL PASEO DE LA CUBA, 15",D,-1.854556,38.999722,2025-05-01 14:00:00,1499,,,1609,,1429,,,,,,959,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2005,"CALLE CONSTANTINO ROMERO, S/N",D,-1.884444,39.005528,2025-04-29 15:39:00,1399,,,,,1359,,,,,,,,,,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D),,,,,,
ALBACETE,ALBACETE,ALBACETE,2005,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",D,-1.885361,39.006889,2025-04-30 16:32:00,1399,,,,,1359,1459,,,,,828,,,,A&A,P,dm,L-S: 09:00-21:30,Sin datos,,,,,,
ALBACETE,ALBACETE,ALBACETE,2005,"AVENIDA MENÉNDEZ PIDAL, 58",N,-1.864917,39.003333,2025-04-30 10:10:00,1509,,,1629,,1439,1519,,,,,,,,,TAMOS,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2005,"PASEO CUBA (LA), 36",N,-1.859917,39.005083,2025-05-01 00:00:00,1544,,,1675,,1467,1577,,,,,994,,,,MOEVE,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (P),,,,,,
ALBACETE,ALBACETE,ALBACETE,2002,"CALLE HERMANOS FALCÓ, 2",D,-1.849028,38.98925,2025-04-28 10:53:00,1539,,,1669,,1479,1579,,,,,,,,,CEPSA,P,dm,L-D: 06:30-22:30,Sin datos,,,,,,
